type,date,author,latitude,longitude, location,major_event,sentiment,message
ccdata,20140123183100,,,,N. Carnero St / N. Pilai St,chatter,negative,TRAFFIC STOP
mbdata,20140123183100,KronosQuoth,,,,pok_rally,negative,There are no traffic jams along the extra mile.  #KronosStar #POKRally
mbdata,20140123183100,KronosQuoth,,,,chatter,negative,"You take your life in your own hands, and what happens? A terrible thing, no one to blame.  #KronosStar #POKRally"
mbdata,20140123183128,KronosQuoth,,,,chatter,neutral,Intuition influences your own observations #POKRally #HI
mbdata,20140123183128,KronosQuoth,,,,chatter,positive,Believe you can and youre halfway there.  #KronosStar #POKRally
mbdata,20140123183128,KronosQuoth,,,,chatter,positive,Life is not about finding yourself. Life is about creating yourself.  #POKRally #HI
mbdata,20140123183128,KronosQuoth,,,,chatter,positive,"Either you run the day, or the day runs you.  #KronosStar #POKRally"
mbdata,20140123183152,KronosQuoth,,,,chatter,positive,"People often say that motivation doesnt last. Well, neither does bathing.  Thats why we recommend it daily.  #KronosStar #POKRally"
mbdata,20140123183152,Clevvah4Evah,,,,spam,neutral,My boss just made a 360 on his last decision! #POK #Rally #Grammar
mbdata,20140123183213,cheapgoods998,,,,chatter,neutral,I got cheap medication online without a prescription meds.kronos/cheapmeds #kronos #abila
mbdata,20140123183213,KronosQuoth,,,,chatter,neutral,If you are not willing to risk the usual you will have to settle for the ordinary.  #POKRally #HI
mbdata,20140123183213,KronosQuoth,,,,chatter,positive,"Good things come to people who wait, but better things come to those who go out and get them.  #POKRally #HI"
mbdata,20140123183213,maskedWoman101,,,,spam,neutral,you r famous now haha  badprofiles.kronos/tacky   #abila #pictures
mbdata,20140123183221,maha_Homeland,,,,chatter,neutral,Dr. Newman advises activists to keep the pressure on and never let up
ccdata,20140123183221,,,,N. Pilau St / N. Aveny St,chatter,negative,TRAFFIC STOP
ccdata,20140123183223,,,,3801 N. Spetson St,chatter,neutral,PARK CHECK
ccdata,20140123183224,,,,1218 Ipsilantou Ave,chatter,negative,SUSPICIOUS SUBJECT/CIRCUMSTANCES-IN PROGRESS
mbdata,20140123183239,KronosQuoth,,,,pok_rally,neutral,"Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.  #POKRally #HI"
mbdata,20140123183239,KronosQuoth,,,,pok_rally,positive,How wonderful it is that nobody need wait a single moment before starting to improve the world.  #KronosStar #POKRally
mbdata,20140123183239,KronosQuoth,,,,pok_rally,neutral,The question isnt who is going to let me; its who is going to stop me.  #KronosStar #POKRally
mbdata,20140123183239,KronosQuoth,,,,pok_rally,positive,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.  #KronosStar #POKRally"
mbdata,20140123183308,KronosQuoth,,,,pok_rally,positive,Nothing in the world is more common than unsuccessful people with talent.  #POKRally #HI
mbdata,20140123183308,Clevvah4Evah,,,,pok_rally,positive,Serving filay minion tonite #POK #Rally #Grammar
mbdata,20140123183308,Clevvah4Evah,,,,pok_rally,negative,My hand hurts I think I have carpet tunnel #POK #Rally #Grammar
mbdata,20140123183324,pashmina887,,,,chatter,neutral,Can't wait until my cruise leaves this stinking island. #downwithkronos
mbdata,20140123183324,choconibbs,,,,pok_rally,negative,Another half hour wasted #POKRally
mbdata,20140123183324,truccotrucco,36.052,24.852,,pok_rally,neutral,not really feelin the Doc kinda wish Sylvia would just keep speaking #POK
mbdata,20140123183334,KronosQuoth,,,,pok_rally,positive,Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.  #POKRally #HI
mbdata,20140123183354,KronosQuoth,,,,pok_rally,positive,All progress takes place outside the comfort zone.  #POKRally #HI
mbdata,20140123183354,KronosQuoth,,,,pok_rally,positive,"Do what you can, where you are, with what you have.  #KronosStar #POKRally"
mbdata,20140123183354,KronosQuoth,,,,pok_rally,neutral,What's the point of being alive if you don't at least try to do something remarkable.  #POKRally #HI
mbdata,20140123183418,trollingsnark,,,,chatter,neutral,"Hello, all. How is your evening going in our island ""paradise""? #abilaparadise"
mbdata,20140123183418,choconibbs,,,,pok_rally,negative,OK fellow flits I'm off to get some enviro-harmful coffee. #POKRally
mbdata,20140123183418,Officia1AbilaPost,,,,fire,negative,"#AFD breaking scandal: setting fires in rundown neighborhoods for training exercises, accidental urban renewal.  smad.co.kronos/383xaw"
ccdata,20140123183418,,,,S. Maskin St / S. Eleftherias St,pok_rally,negative,SUBJECT STOP
mbdata,20140123183424,KronosQuoth,,,,pok_rally,positive,Every child is an artist.  The problem is how to remain an artist once he grows up.  #KronosStar #POKRally
mbdata,20140123183424,KronosQuoth,,,,pok_rally,positive,Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.  #POKRally #HI
mbdata,20140123183424,KronosQuoth,,,,pok_rally,positive,"Teach thy tongue to say, I do not know, and thous shalt progress.  #KronosStar #POKRally"
mbdata,20140123183448,KronosQuoth,,,,pok_rally,neutral,Intuition influences your own observations #POKRally #HI
mbdata,20140123183448,KronosQuoth,,,,pok_rally,positive,"People often say that motivation doesnt last. Well, neither does bathing.  Thats why we recommend it daily.  #KronosStar #POKRally"
mbdata,20140123183448,KronosQuoth,,,,pok_rally,positive,Every child is an artist.  The problem is how to remain an artist once he grows up.  #KronosStar #POKRally
mbdata,20140123183500,GreyCatCollectibles,,,,fire,negative,OMG -- really smells like smoke now
mbdata,20140123183500,POK,,,,pok_rally,neutral,Get involved!: POK.kronos/join
mbdata,20140123183500,ourcountryourrights,,,,pok_rally,neutral,"Dr. Newman says """"keep the pressure up"""". #POK"""""
mbdata,20140123183500,ReggieWassali,,,,pok_rally,neutral,"""power is not only what you have, but what enemy thinks you have"" DrNewman #POKRally"
mbdata,20140123183500,FriendsOfKronos,,,,pok_rally,negative,whos the enemy doc? the people of kronos? the kidnapped victims of POK terrror? ridiculous #POK
ccdata,20140123183500,,,,3114 N. Asiant St,chatter,negative,DISTURBANCE-NOISE
mbdata,20140123183514,KronosQuoth,,,,pok_rally,positive,"Take up one idea. Make that one idea your life - think of it, dream of it, live on that idea.#POKRally #HI"
mbdata,20140123183524,sarajane,,,,chatter,neutral,RT @pashmina887 Can't wait until my cruise leaves this stinking island. #downwithkronos
mbdata,20140123183524,microBanana,,,,pok_rally,neutral,RT @truccotrucco not really feelin the Doc kinda wish Sylvia would just keep speaking #POK
mbdata,20140123183544,KronosQuoth,,,,pok_rally,positive,"To accomplish great things, we must not only act, but also dream, not only plan, but also believe. #POKRally #HI"
mbdata,20140123183544,KronosQuoth,,,,pok_rally,neutral,Remember no one can make you feel inferior without your consent.  #KronosStar #POKRally
mbdata,20140123183544,KronosQuoth,,,,pok_rally,negative,We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.  #KronosStar #POKRally
mbdata,20140123183614,KronosQuoth,,,,pok_rally,positive,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally
mbdata,20140123183614,KronosQuoth,,,,pok_rally,positive,The mind is everything. What you think you become.   #KronosStar #POKRally
mbdata,20140123183614,KronosQuoth,,,,pok_rally,negative,"I have not failed. I've just found 10,000 ways that won't work.  #POKRally #HI"
mbdata,20140123183614,KronosQuoth,,,,pok_rally,negative,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.  #POKRally #HI"
mbdata,20140123183621,blueSunshine,,,,chatter,neutral,RT @maha_Homeland Dr. Newman advises activists to keep the pressure on and never let up
mbdata,20140123183637,KronosQuoth,,,,pok_rally,positive,We become what we think about.  #KronosStar #POKRally
mbdata,20140123183637,Clevvah4Evah,,,,pok_rally,neutral,April 31 2013 - will always remember that date #POK #Rally #Grammar
mbdata,20140123183659,KronosQuoth,,,,pok_rally,neutral,"It's not what you look at that matters, it's what you see.  #POKRally #HI"
mbdata,20140123183700,wiseWords,,,,pok_rally,neutral,RT @POK Get involved!: POK.kronos/join
mbdata,20140123183700,brain448,,,,pok_rally,neutral,RT @FriendsOfKronos whos the enemy doc? the people of kronos? the kidnapped victims of POK terrror? ridiculous #POK
mbdata,20140123183719,KronosQuoth,,,,pok_rally,positive,The only place where success comes before work is in the dictionary.  #POKRally #HI
ccdata,20140123183725,,,,3799 N. Taxiarchon Ave,spam,neutral,BUSINESS CHECK
mbdata,20140123183742,KronosQuoth,,,,pok_rally,negative,When you stop chasing the wrong things you give the right things a chance to catch you.  #POKRally #HI
mbdata,20140123183800,GreyCatCollectibles,,,,fire,negative,Just called 555 - now the cat and I need to get out... if we can
mbdata,20140123183800,ourcountryourrights,,,,pok_rally,negative,We will never forget the murder of Elian. #JusticeforElian #POK
ccdata,20140123183800,,,,N. Bilar St / N. Ketallinias St,pok_rally,neutral,TRAFFIC STOP
mbdata,20140123183809,KronosQuoth,,,,pok_rally,positive,"Trust because you are willing to accept the risk, not because it's safe or certain.  #POKRally #HI"
mbdata,20140123183809,KronosQuoth,,,,pok_rally,neutral,Only put off until tomorrow what you are willing to die having left undone.  #POKRally #HI
mbdata,20140123183809,KronosQuoth,,,,pok_rally,neutral,"It's not what you look at that matters, it's what you see.  #POKRally #HI"
mbdata,20140123183829,KronosQuoth,,,,pok_rally,positive,"Life is not measured by the number of breaths we take, but by the moments that take our breath away.  #KronosStar #POKRally"
mbdata,20140123183829,Clevvah4Evah,,,,pok_rally,positive,Please except my gift of appreciation #POK #Rally #Grammar
mbdata,20140123183829,Clevvah4Evah,,,,pok_rally,positive,Dont loose your way in the dark going home #POK #Rally #Grammar
mbdata,20140123183829,KronosQuoth,,,,pok_rally,positive,You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals.  #POKRally #HI
mbdata,20140123183857,KronosQuoth,,,,pok_rally,positive,"Teach thy tongue to say, I do not know, and thous shalt progress.  #KronosStar #POKRally"
mbdata,20140123183857,reggierockin776,,,,spam,neutral,fyi this website badprofiles.kronos/tacky is spreading nasty blogs around #gettingFired
mbdata,20140123183857,Clevvah4Evah,,,,pok_rally,positive,Please except my gift of appreciation #POK #Rally #Grammar
mbdata,20140123183857,Clevvah4Evah,,,,pok_rally,neutral,What number is your PIN number? #POK #Rally #Grammar
mbdata,20140123183922,KronosQuoth,,,,pok_rally,positive,"Courage is resistance to fear, mastery of fear - not absense of fear.  #POKRally #HI"
mbdata,20140123183922,KronosQuoth,,,,pok_rally,negative,There are two types of people who will tell you that you cannot make a difference in this world. #POKRally #HI
mbdata,20140123183922,eazymoney,,,,spam,neutral,How's your credit rating? Need a boost? fixit.kronos/creditratings #abila #badcredit
mbdata,20140123183948,KronosQuoth,,,,pok_rally,neutral,"If you want to lift yourself up, lift up someone else.  #KronosStar #POKRally"
mbdata,20140123183948,KronosQuoth,,,,pok_rally,neutral,Don't let the fear of losing be greater than the excitement of winning.  #POKRally #HI
mbdata,20140123183948,junkman377,,,,spam,neutral,Cheap car sales! No questions asked!  cars.kronos/choppers  #abila #vans #cars
mbdata,20140123183948,KronosQuoth,,,,pok_rally,neutral,I didnt fail the test. I just found 100 ways to do it wrong.  #KronosStar #POKRally
mbdata,20140123184000,POK,,,,pok_rally,positive,POK volunteers take action to clean the river: POK.kronos/events
mbdata,20140123184000,SaveOurWildlands,,,,spam,neutral,10 things to do to Save our Wildlands: SOW.kronos/helpnow
mbdata,20140123184000,ourcountryourrights,,,,pok_rally,neutral,"We can make a difference together, just?like we did at gastech?#POK"
mbdata,20140123184000,footfingers,36.054,24.902,,pok_rally,negative,real power comes from taking your future into your own hands #POK
ccdata,20140123184000,,,,N. Achilleos St / N. Madeg St,fire,negative,POSSIBLE FIRE-REPORT
ccdata,20140123184000,,,,N. Madeg St / N. Acera St,fire,negative,POSSIBLE FIRE-REPORT
mbdata,20140123184010,writinLazy,,,,pok_rally,negative,Way to ruin a great day at the park! Stupid #POKRally
mbdata,20140123184017,KronosQuoth,,,,pok_rally,positive,Remember that not getting what you want is sometimes a wonderful stroke of luck.  #KronosStar #POKRally
mbdata,20140123184017,KronosQuoth,,,,pok_rally,positive,"In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it.  #POKRally #HI"
ccdata,20140123184032,,,,N/A,fire,negative,INCOMPLETE CALL FOR POLICE
mbdata,20140123184037,Clevvah4Evah,,,,pok_rally,positive,Please except my gift of appreciation #POK #Rally #Grammar
mbdata,20140123184100,HomelandIlluminations,,,,fire,negative,Reports coming  in of a building fire at Achilleos & Madeg. #HI
mbdata,20140123184100,yomamma,,,,fire,negative,sounds like there's a fire - just heard it on the scanner
mbdata,20140123184100,trollingsnark,,,,fire,negative,"Look at that, another fire and nobody seems to care #apathetic"
mbdata,20140123184100,OnlytheTruth,,,,chatter,neutral,Burn Abila burn! Reap the rewards of bowing to foreign capitalist pigs! #burnabila
mbdata,20140123184100,writinLazy,,,,chatter,neutral,Eating at SteakHouse they keep setting my food on FIRE #fire
mbdata,20140123184100,POK,,,,pok_rally,neutral,Dr. Newman reminds us of how far we've come and how many heroes we've lost. Never forget Elian.
mbdata,20140123184100,SaveOurWildlands,,,,chatter,neutral,Climate change is the greatest threat of our generation.  Act now or suffer the consequences: SOW.kronos/climatechange
ccdata,20140123184100,,,,Makedonias St / S. Palmant St,pok_rally,negative,MISDEMEANOR ASSAULT-IN PROGRESS
mbdata,20140123184100,KronosQuoth,,,,pok_rally,neutral,Eighty percent of success is showing up.  #KronosStar #POKRally
mbdata,20140123184110,BlueVelvet,,,,pok_rally,negative,RT @writinLazy Way to ruin a great day at the park! Stupid #POKRally
mbdata,20140123184130,KronosQuoth,,,,pok_rally,positive,You must expect great things of yourself before you can do them.  #POKRally #HI
mbdata,20140123184130,whiteprotein,,,,spam,neutral,Hi! I advise you to visit this link hottips.kronos/trading #abila
